Iteration,Selfish Strategy,Honest Strategy
702,Selfish,Honest
703,Selfish,Honest
704,Selfish,Honest
705,Selfish,Honest
706,Selfish,Honest
707,Selfish,Honest
708,Selfish,Honest
709,Selfish,Honest
710,Selfish,Honest
711,Selfish,Honest
712,Selfish,Honest
713,Selfish,Honest
714,Selfish,Honest
715,Selfish,Honest
716,Selfish,Honest
717,Selfish,Honest
718,Selfish,Honest
719,Selfish,Honest
720,Selfish,Honest
721,Selfish,Honest
722,Selfish,Honest
723,Selfish,Honest
724,Selfish,Honest
725,Selfish,Honest
726,Selfish,Honest
727,Selfish,Honest
728,Selfish,Honest
729,Selfish,Honest
730,Selfish,Honest
731,Selfish,Honest
732,Selfish,Honest
733,Selfish,Honest
734,Selfish,Honest
735,Selfish,Honest
736,Selfish,Honest
737,Selfish,Honest
738,Selfish,Honest
739,Selfish,Honest
740,Selfish,Honest
741,Selfish,Honest
742,Selfish,Honest
743,Selfish,Honest
744,Selfish,Honest
745,Selfish,Honest
746,Selfish,Honest
747,Selfish,Honest
748,Selfish,Honest
749,Selfish,Honest
750,Selfish,Honest
751,Selfish,Honest
752,Selfish,Honest
753,Selfish,Honest
754,Selfish,Honest
755,Selfish,Honest
756,Selfish,Honest
757,Selfish,Honest
758,Selfish,Honest
759,Selfish,Honest
760,Selfish,Honest
761,Selfish,Honest
762,Selfish,Honest
763,Selfish,Honest
764,Selfish,Honest
765,Selfish,Honest
766,Selfish,Honest
767,Selfish,Honest
768,Selfish,Honest
769,Selfish,Honest
770,Selfish,Honest
771,Selfish,Honest
772,Selfish,Honest
773,Selfish,Honest
774,Selfish,Honest
775,Selfish,Honest
776,Selfish,Honest
777,Selfish,Honest
778,Selfish,Honest
779,Selfish,Honest
780,Selfish,Honest
781,Selfish,Honest
782,Selfish,Honest
783,Selfish,Honest
784,Selfish,Honest
785,Selfish,Honest
786,Selfish,Honest
787,Selfish,Honest
788,Selfish,Honest
789,Selfish,Honest
790,Selfish,Honest
791,Selfish,Honest
792,Selfish,Honest
793,Selfish,Honest
794,Selfish,Honest
795,Selfish,Honest
796,Selfish,Honest
797,Selfish,Honest
798,Selfish,Honest
799,Selfish,Honest
800,Selfish,Honest
801,Selfish,Honest
802,Selfish,Honest
803,Selfish,Honest
804,Selfish,Honest
805,Selfish,Honest
806,Selfish,Honest
807,Selfish,Honest
808,Selfish,Honest
809,Selfish,Honest
810,Selfish,Honest
811,Selfish,Honest
812,Selfish,Honest
813,Selfish,Honest
814,Selfish,Honest
815,Selfish,Honest
816,Selfish,Honest
817,Selfish,Honest
818,Selfish,Honest
819,Selfish,Honest
820,Selfish,Honest
821,Selfish,Honest
822,Selfish,Honest
823,Selfish,Honest
824,Selfish,Honest
825,Selfish,Honest
826,Selfish,Honest
827,Selfish,Honest
828,Selfish,Honest
829,Selfish,Honest
830,Selfish,Honest
831,Selfish,Honest
832,Selfish,Honest
833,Selfish,Honest
834,Selfish,Honest
835,Selfish,Honest
836,Selfish,Honest
837,Selfish,Honest
838,Selfish,Honest
839,Selfish,Honest
840,Selfish,Honest
841,Selfish,Honest
842,Selfish,Honest
843,Selfish,Honest
844,Selfish,Honest
845,Selfish,Honest
846,Selfish,Honest
847,Selfish,Honest
848,Selfish,Honest
849,Selfish,Honest
850,Selfish,Honest
851,Selfish,Honest
852,Selfish,Honest
853,Selfish,Honest
854,Selfish,Honest
855,Selfish,Honest
856,Selfish,Honest
857,Selfish,Honest
858,Selfish,Honest
859,Selfish,Honest
860,Selfish,Honest
861,Selfish,Honest
862,Selfish,Honest
863,Selfish,Honest
864,Selfish,Honest
865,Selfish,Honest
866,Selfish,Honest
867,Selfish,Honest
868,Selfish,Honest
869,Selfish,Honest
870,Selfish,Honest
871,Selfish,Honest
872,Selfish,Honest
873,Selfish,Honest
874,Selfish,Honest
875,Selfish,Honest
876,Selfish,Honest
877,Selfish,Honest
878,Selfish,Honest
879,Selfish,Honest
880,Selfish,Honest
881,Selfish,Honest
882,Selfish,Honest
883,Selfish,Honest
884,Selfish,Honest
885,Selfish,Honest
886,Selfish,Honest
887,Selfish,Honest
888,Selfish,Honest
889,Selfish,Honest
890,Selfish,Honest
891,Selfish,Honest
892,Selfish,Honest
893,Selfish,Honest
894,Selfish,Honest
895,Selfish,Honest
896,Selfish,Honest
897,Selfish,Honest
898,Selfish,Honest
899,Selfish,Honest
900,Selfish,Honest
901,Selfish,Honest
902,Selfish,Honest
903,Selfish,Honest
904,Selfish,Honest
905,Selfish,Honest
906,Selfish,Honest
907,Selfish,Honest
908,Selfish,Honest
909,Selfish,Honest
910,Selfish,Honest
911,Selfish,Honest
912,Selfish,Honest
913,Selfish,Honest
914,Selfish,Honest
915,Selfish,Honest
916,Selfish,Honest
917,Selfish,Honest
918,Selfish,Honest
919,Selfish,Honest
920,Selfish,Honest
921,Selfish,Honest
922,Selfish,Honest
923,Selfish,Honest
924,Selfish,Honest
925,Selfish,Honest
926,Selfish,Honest
927,Selfish,Honest
928,Selfish,Honest
929,Selfish,Honest
930,Selfish,Honest
931,Selfish,Honest
932,Selfish,Honest
933,Selfish,Honest
934,Selfish,Honest
935,Selfish,Honest
936,Selfish,Honest
937,Selfish,Honest
938,Selfish,Honest
939,Selfish,Honest
940,Selfish,Honest
941,Selfish,Honest
942,Selfish,Honest
943,Selfish,Honest
944,Selfish,Honest
945,Selfish,Honest
946,Selfish,Honest
947,Selfish,Honest
948,Selfish,Honest
949,Selfish,Honest
950,Selfish,Honest
951,Selfish,Honest
952,Selfish,Honest
953,Selfish,Honest
954,Selfish,Honest
955,Selfish,Honest
956,Selfish,Honest
957,Selfish,Honest
958,Selfish,Honest
959,Selfish,Honest
960,Selfish,Honest
961,Selfish,Honest
962,Selfish,Honest
963,Selfish,Honest
964,Selfish,Honest
965,Selfish,Honest
966,Selfish,Honest
967,Selfish,Honest
968,Selfish,Honest
969,Selfish,Honest
970,Selfish,Honest
971,Selfish,Honest
972,Selfish,Honest
973,Selfish,Honest
974,Selfish,Honest
975,Selfish,Honest
976,Selfish,Honest
977,Selfish,Honest
978,Selfish,Honest
979,Selfish,Honest
980,Selfish,Honest
981,Selfish,Honest
982,Selfish,Honest
983,Selfish,Honest
984,Selfish,Honest
985,Selfish,Honest
986,Selfish,Honest
987,Selfish,Honest
988,Selfish,Honest
989,Selfish,Honest
990,Selfish,Honest
991,Selfish,Honest
992,Selfish,Honest
993,Selfish,Honest
994,Selfish,Honest
995,Selfish,Honest
996,Selfish,Honest
997,Selfish,Honest
998,Selfish,Honest
999,Selfish,Honest
1000,Selfish,Honest
1001,Selfish,Honest
1002,Selfish,Honest
1003,Selfish,Honest
1004,Selfish,Honest
1005,Selfish,Honest
1006,Selfish,Honest
1007,Selfish,Honest
1008,Selfish,Honest
1009,Selfish,Honest
1010,Selfish,Honest
1011,Selfish,Honest
1012,Selfish,Honest
1013,Selfish,Honest
1014,Selfish,Honest
1015,Selfish,Honest
1016,Selfish,Honest
1017,Selfish,Honest
1018,Selfish,Honest
1019,Selfish,Honest
1020,Selfish,Honest
1021,Selfish,Honest
1022,Selfish,Honest
1023,Selfish,Honest
1024,Selfish,Honest
1025,Selfish,Honest
1026,Selfish,Honest
1027,Selfish,Honest
1028,Selfish,Honest
1029,Selfish,Honest
1030,Selfish,Honest
1031,Selfish,Honest
1032,Selfish,Honest
1033,Selfish,Honest
1034,Selfish,Honest
1035,Selfish,Honest
1036,Selfish,Honest
1037,Selfish,Honest
1038,Selfish,Honest
1039,Selfish,Honest
1040,Selfish,Honest
1041,Selfish,Honest
1042,Selfish,Honest
1043,Selfish,Honest
1044,Selfish,Honest
1045,Selfish,Honest
1046,Selfish,Honest
1047,Selfish,Honest
1048,Selfish,Honest
1049,Selfish,Honest
1050,Selfish,Honest
1051,Selfish,Honest
1052,Selfish,Honest
1053,Selfish,Honest
1054,Selfish,Honest
1055,Selfish,Honest
1056,Selfish,Honest
1057,Selfish,Honest
1058,Selfish,Honest
1059,Selfish,Honest
1060,Selfish,Honest
1061,Selfish,Honest
1062,Selfish,Honest
1063,Selfish,Honest
1064,Selfish,Honest
1065,Selfish,Honest
1066,Selfish,Honest
1067,Selfish,Honest
1068,Selfish,Honest
1069,Selfish,Honest
1070,Selfish,Honest
1071,Selfish,Honest
1072,Selfish,Honest
1073,Selfish,Honest
1074,Selfish,Honest
1075,Selfish,Honest
1076,Selfish,Honest
1077,Selfish,Honest
1078,Selfish,Honest
1079,Selfish,Honest
1080,Selfish,Honest
1081,Selfish,Honest
1082,Selfish,Honest
1083,Selfish,Honest
1084,Selfish,Honest
1085,Selfish,Honest
1086,Selfish,Honest
1087,Selfish,Honest
1088,Selfish,Honest
1089,Selfish,Honest
1090,Selfish,Honest
1091,Selfish,Honest
1092,Selfish,Honest
1093,Selfish,Honest
1094,Selfish,Honest
1095,Selfish,Honest
1096,Selfish,Honest
1097,Selfish,Honest
1098,Selfish,Honest
1099,Selfish,Honest
1100,Selfish,Honest
1101,Selfish,Honest
1102,Selfish,Honest
1103,Selfish,Honest
1104,Selfish,Honest
1105,Selfish,Honest
1106,Selfish,Honest
1107,Selfish,Honest
1108,Selfish,Honest
1109,Selfish,Honest
1110,Selfish,Honest
1111,Selfish,Honest
1112,Selfish,Honest
1113,Selfish,Honest
1114,Selfish,Honest
1115,Selfish,Honest
1116,Selfish,Honest
1117,Selfish,Honest
1118,Selfish,Honest
1119,Selfish,Honest
1120,Selfish,Honest
1121,Selfish,Honest
1122,Selfish,Honest
1123,Selfish,Honest
1124,Selfish,Honest
1125,Selfish,Honest
1126,Selfish,Honest
1127,Selfish,Honest
1128,Selfish,Honest
1129,Selfish,Honest
1130,Selfish,Honest
1131,Selfish,Honest
1132,Selfish,Honest
1133,Selfish,Honest
1134,Selfish,Honest
1135,Selfish,Honest
1136,Selfish,Honest
1137,Selfish,Honest
1138,Selfish,Honest
1139,Selfish,Honest
1140,Selfish,Honest
1141,Selfish,Honest
1142,Selfish,Honest
